1,20.397340
101,1832.553227
201,3208.920918
301,4257.244487
401,5240.567319
501,6137.741780
601,7665.194630
701,8747.641008
801,9796.561595
901,11584.328077
1001,11957.961407
1101,12867.912286
1201,13170.689079
1301,13400.634371
1401,14645.996800
1501,14503.384480
1601,15072.485597
1701,16090.678129
1801,15895.139579
1901,13994.679910
2001,14245.095305
2101,13812.276056
2201,14603.958795
2301,13690.674027
2401,15064.054793
2501,14829.768161
2601,15587.629946
2701,15467.593291
2801,16088.162545
2901,16562.881916
3001,16663.457471
3101,17312.252065
3201,17457.221857
3301,17660.171113
3401,16999.183104
3501,18420.602284
3601,17967.718436
3701,18268.300024
3801,18857.175912
3901,18365.940923
4001,19147.452209
4101,18384.255529
4201,18518.702837
4301,18488.494805
4401,18225.319709
4501,17832.178028
4601,17559.990723
4701,18329.384934
4801,18632.284043
4901,19846.758870
5000,20242.047223
6000,19975.168671
7000,20246.702313
8000,20379.124330
9000,20298.555586
10000,20019.946899
11000,19435.477765
12000,21477.448556
13000,21870.516190
14000,22698.332635
15000,22138.326486
16000,22180.935509
17000,22754.344535
18000,22775.286861
19000,20902.760918
20000,20425.271642
21000,21033.198234
22000,21373.851191
23000,23726.559569
24000,23097.938884
25000,23165.431110
26000,24180.141553
27000,23920.374979
28000,24494.110510
29000,22387.532792
30000,21971.341317
31000,22454.096040
32000,20921.658194
33000,31359.663286
34000,31438.704085
35000,31774.958058
36000,32185.047379
37000,30923.403252
38000,30784.052124
39000,31421.752360
40000,30658.996382
41000,30012.383463
42000,29837.570924
43000,27834.689157
44000,30870.324482
45000,29818.673229
46000,31320.855498
47000,30272.183487
48000,30338.605401
49000,31017.718803
50000,31906.159785
51000,30324.217260
52000,30528.576712
53000,29188.609368
54000,29181.068988
55000,31337.109753
56000,31921.059406
57000,30678.320294
58000,30575.247319
59000,31214.282157
60000,30880.927162
61000,29485.359183
62000,31031.406975
63000,29895.776368
64000,28393.173000
65000,30856.175648
66000,28518.998215
67000,27449.632070
68000,28820.005179
69000,24551.915531
70000,26113.130310
71000,29003.739273
72000,29449.749408
73000,28954.038220
74000,26835.164648
75000,26778.569372
76000,26588.586551
77000,29086.638629
78000,27736.244604
79000,26608.625671
80000,26897.340281
81000,26625.436198
82000,27367.461112
83000,29359.870926
84000,29132.150561
85000,26753.404078
86000,27194.925415
87000,29451.208359
88000,29227.393160
89000,29611.927838
90000,26291.915423
91000,27265.193115
92000,27218.179685
93000,29597.073192
94000,26598.418531
95000,27050.552429
96000,26645.413041
97000,27086.130623
98000,29194.528782
99000,29304.809640
100000,27521.679790
101000,27133.468571
102000,26494.735359
103000,29771.267083
104000,29835.193086
105000,29747.596696
106000,27265.587136
107000,27596.968408
108000,27831.966405
109000,29979.228003
110000,30295.018062
111000,27739.885442
112000,27265.364012
113000,27089.348926
114000,29419.489001
115000,29651.496581
116000,29543.051049
117000,27122.265573
118000,27459.702731
119000,27751.034408
120000,28850.356022
121000,29237.010250
122000,27789.426434
123000,26969.270422
124000,27719.758903
125000,30203.096421
126000,30248.912601
127000,27996.476994
128000,27543.612416
129000,27533.269923
130000,29684.767984
131000,29138.752935
132000,25842.495895
133000,26763.804220
134000,27009.769543
135000,26891.999653
136000,26639.659760
137000,27254.316928
138000,27121.075704
139000,26966.649400
140000,26776.470488
141000,25031.736160
142000,27203.177881
143000,27438.756652
144000,27111.360351
145000,27565.055966
146000,27726.217956
147000,27962.259779
148000,27008.163486
149000,27474.442238
150000,27386.337882
151000,28226.135482
152000,28163.127303
153000,27105.481566
154000,27787.159581
155000,27916.115070
156000,27487.790694
157000,27752.968681
158000,27830.153759
159000,27962.586747
160000,27855.772593
161000,27958.525549
162000,28125.589045
163000,28031.856213
164000,27860.136592
165000,27720.373248
166000,27030.943406
167000,27727.920382
168000,27903.865651
169000,28112.159300
170000,27850.348515
171000,27051.584704
172000,28166.252704
173000,28336.516198
174000,28345.688879
175000,28147.324004
176000,27746.368374
177000,28448.044007
178000,28545.995799
179000,28633.168818
180000,28507.087983
181000,28419.606066
182000,28909.182892
183000,28377.050281
184000,28789.975175
185000,28663.552039
186000,28726.118285
187000,28832.961627
188000,28718.613999
189000,28081.716523
190000,28906.885164
191000,28455.395850
192000,28122.818355
193000,28277.354020
194000,28380.454992
195000,28042.074656
196000,28412.786408
197000,28115.604511
198000,27954.183181
199000,28179.133513
200000,27967.853303
201000,28595.972515
202000,28518.266420
203000,28297.819372
204000,28585.925842
205000,28772.575999
206000,28787.009432
207000,28874.800752
208000,28752.302200
209000,28806.995735
210000,28873.842350
211000,29199.896821
212000,28897.082987
213000,28636.102902
214000,29022.283119
215000,28894.673506
216000,29046.355640
217000,29026.053593
218000,29502.960756
219000,29075.131214
220000,29460.931699
221000,29312.956477
222000,29266.162818
223000,29312.119956
224000,29224.978855
225000,28755.020475
226000,28364.144514
227000,29228.660482
228000,28963.798683
229000,29228.066868
230000,28702.693411
231000,28947.920656
232000,29205.770118
233000,28105.479487
234000,29073.935639
235000,29043.935616
236000,29116.955578
237000,28980.799497
238000,29038.327210
239000,29276.717401
240000,29151.361738
241000,29405.625760
242000,29775.459586
243000,29242.722710
244000,29076.126687
245000,29702.023668
246000,29167.456792
247000,29446.737788
248000,29403.556761
249000,29514.814074
250000,29433.454093
100000,29774.288351
200000,28182.791870
300000,29792.128824
400000,29937.128735
500000,30443.419011
600000,29819.242543
700000,30627.277693
800000,30066.749658
900000,30072.955776
1000000,29868.641624
1100000,29594.191148
1200000,29488.390512
1300000,29389.874837
1400000,28649.517643
1500000,28433.768739
1600000,28309.474093
1700000,27985.679201
1800000,27678.220496
1900000,27537.215872
2000000,27483.583288
2100000,26512.875697
2200000,26547.356090
2300000,26011.396333
2400000,25917.846515
2500000,25657.747157
2600000,24426.058086
2700000,26391.522891
2800000,24682.671084
